t,u,v,w,p,q,r,xf,yf,zf,e0,ex,ey,ez,thr1 commanded,thr2 commanded,thr3 commanded,thr4 commanded,thr1 actual,thr2 actual,thr3 actual,thr4 actual
   0.8666677999994933E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.9000000000000450E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.9333336000004055E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.9666684000006549E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1000001000001133E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1065589300001133E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1073118100001133E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1100001000001556E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1153232600001556E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1166774400001556E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1200000300001859E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1233334200002724E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1266667000003544E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1300000600004702E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1386071300004702E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1503547600004702E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1517340900004702E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1527122000004702E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1536135600004702E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1536208800004702E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1536266500004702E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
   0.1566667700004921E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,  -0.2000000000000000E+002,   0.1000000000000000E+001,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000,   0.0000000000000000E+000
